timestamp,x,y,z,w
1528446436950776,-0.0436401,0.655212,0.151184,-0.738831
1528446436965728,-0.0426636,0.655212,0.151794,-0.73877
1528446436990661,-0.0418091,0.655273,0.152222,-0.738708
1528446437010607,-0.0411377,0.655273,0.152527,-0.738708
1528446437025568,-0.0408325,0.655334,0.15271,-0.738647
1528446437049504,-0.0408325,0.655334,0.15271,-0.738586
1528446437073441,-0.0407715,0.655396,0.15271,-0.738586
1528446437102364,-0.0410767,0.655579,0.152649,-0.738403
1528446437105354,-0.041687,0.655823,0.152466,-0.738159
1528446437124330,-0.0426636,0.656311,0.1521,-0.737732
1528446437139264,-0.0438843,0.656799,0.151367,-0.737366
1528446437164196,-0.0454102,0.657227,0.150635,-0.737061
1528446437184144,-0.0467529,0.657593,0.149963,-0.736816
1528446437228028,-0.0477905,0.657776,0.149597,-0.736633
1528446437238007,-0.0484009,0.657898,0.149658,-0.736511
1528446437244987,-0.0485229,0.657898,0.149719,-0.73645
1528446437259941,-0.0485229,0.657959,0.150696,-0.736206
1528446437281882,-0.0480347,0.657959,0.152161,-0.735962
1528446437312800,-0.0473022,0.657898,0.153931,-0.735657
1528446437326763,-0.0463867,0.657776,0.155762,-0.735474
1528446437350697,-0.0455322,0.657593,0.157593,-0.735291
1528446437372640,-0.0447388,0.657288,0.15918,-0.735229
1528446437387637,-0.0442505,0.656982,0.1604,-0.735291
1528446437410541,-0.0441284,0.656616,0.161438,-0.735413
1528446437431525,-0.0443726,0.65625,0.16217,-0.735535
1528446437438463,-0.0450439,0.655945,0.162598,-0.735718
1528446437460404,-0.0462036,0.65564,0.162598,-0.735901
1528446437483359,-0.0475464,0.655457,0.162231,-0.736084
1528446437498303,-0.0490112,0.655334,0.161499,-0.736267
1528446437520272,-0.0507813,0.655212,0.160217,-0.736511
1528446437543183,-0.0525513,0.655151,0.158508,-0.736816
1528446437558143,-0.0543213,0.65509,0.156677,-0.737122
1528446437581109,-0.0561523,0.655212,0.154602,-0.737305
1528446437603026,-0.0579834,0.655334,0.152649,-0.737427
1528446437618018,-0.0597534,0.655518,0.150818,-0.737549
1528446437640974,-0.0617065,0.655701,0.148987,-0.73761
1528446437662864,-0.0638428,0.655945,0.147217,-0.737549
1528446437677824,-0.0657349,0.655884,0.145935,-0.737671
1528446437700764,-0.0671387,0.65564,0.145264,-0.737915
1528446437722722,-0.0679932,0.655273,0.14502,-0.73822
1528446437737664,-0.0684814,0.655029,0.145081,-0.738403
1528446437760627,-0.0686035,0.654663,0.145447,-0.738647
1528446437783542,-0.0685425,0.654297,0.145935,-0.738831
1528446437798502,-0.0684204,0.654053,0.146606,-0.738953
1528446437820478,-0.0685425,0.653748,0.147156,-0.739136
1528446437843383,-0.0689087,0.653564,0.1474,-0.739197
1528446437858341,-0.069458,0.653503,0.147461,-0.739197
1528446437880337,-0.0700073,0.653259,0.147522,-0.739319
1528446437903259,-0.0706177,0.652954,0.1474,-0.739563
1528446437918181,-0.0715332,0.652832,0.146973,-0.739685
1528446437940154,-0.0722656,0.65271,0.146606,-0.739807
1528446437963061,-0.0726929,0.652527,0.146423,-0.739929
1528446437986000,-0.0727539,0.652527,0.146484,-0.739929
1528446438000997,-0.0724487,0.652466,0.146729,-0.739929
1528446438022950,-0.0718994,0.652466,0.147095,-0.739929
1528446438037914,-0.071106,0.652344,0.147644,-0.73999
1528446438061083,-0.0698242,0.652161,0.14856,-0.740051
1528446438092303,-0.0681763,0.651917,0.14978,-0.740173
1528446438097985,-0.0663452,0.651672,0.151062,-0.740356
1528446438120405,-0.0645142,0.651489,0.152222,-0.740417
1528446438135368,-0.0629272,0.651489,0.153137,-0.740356
1528446438158304,-0.0617065,0.651489,0.153809,-0.740295
1528446438181309,-0.060791,0.651611,0.154297,-0.740234
1528446438196234,-0.0603027,0.651733,0.154419,-0.740112
1528446438220259,-0.0601807,0.651917,0.154236,-0.73999
1528446438241109,-0.0603638,0.651978,0.153809,-0.73999
1528446438266043,-0.060791,0.6521,0.153381,-0.73999
1528446438279562,-0.0615845,0.652222,0.152832,-0.739929
1528446438301394,-0.0623169,0.652222,0.152466,-0.739868
1528446438319269,-0.0629883,0.652283,0.152283,-0.739807
1528446438339457,-0.0634155,0.652405,0.152161,-0.739685
1528446438360672,-0.0638428,0.652649,0.151978,-0.739502
1528446438378916,-0.0641479,0.652893,0.151672,-0.739319
1528446438399545,-0.0643921,0.653015,0.151489,-0.739258
1528446438420153,-0.0645752,0.653137,0.151245,-0.739136
1528446438443100,-0.0649414,0.65332,0.150879,-0.739014
1528446438461015,-0.0654297,0.653503,0.150513,-0.738892
1528446438480960,-0.0657959,0.653564,0.150208,-0.738892
1528446438498911,-0.0663452,0.653564,0.14978,-0.738953
1528446438520852,-0.0673218,0.653503,0.149048,-0.739014
1528446438543796,-0.0686035,0.653625,0.148071,-0.739014
1528446438564588,-0.0698853,0.653625,0.147156,-0.739075
1528446438581820,-0.071228,0.653564,0.146179,-0.739197
1528446438600890,-0.072937,0.653503,0.144897,-0.739319
1528446438623868,-0.0747681,0.653503,0.143494,-0.739441
1528446438641799,-0.0764771,0.653442,0.142151,-0.739563
1528446438660861,-0.078186,0.653259,0.140625,-0.739868
1528446438678873,-0.0799561,0.653198,0.138855,-0.740051
1528446438701670,-0.0813599,0.652954,0.137207,-0.740356
1528446438720523,-0.0824585,0.652771,0.135254,-0.740784
1528446438739790,-0.0846558,0.652832,0.132507,-0.741028
1528446438761528,-0.0874023,0.653259,0.129761,-0.740784
1528446438780745,-0.0876465,0.653503,0.128845,-0.740723
1528446438798601,-0.0849609,0.653259,0.129578,-0.74115
1528446438821549,-0.081604,0.653259,0.129272,-0.741516
1528446438840509,-0.0792236,0.653564,0.128662,-0.741638
1528446438858443,-0.0770874,0.653992,0.128906,-0.741455
1528446438881434,-0.0736084,0.654297,0.131104,-0.74115
1528446438900330,-0.067627,0.654175,0.13562,-0.741028
1528446438924301,-0.0602417,0.653748,0.141357,-0.740967
1528446438941266,-0.0530396,0.653564,0.146484,-0.740662
1528446438962164,-0.0477295,0.653748,0.150085,-0.740112
1528446438985143,-0.0449219,0.654053,0.151917,-0.739685
1528446439001073,-0.0443726,0.654419,0.152649,-0.739258
1528446439022004,-0.0447998,0.654785,0.153198,-0.73877
1528446439042982,-0.0449829,0.655029,0.154175,-0.738342
1528446439060904,-0.0445557,0.655151,0.155151,-0.738037
1528446439081846,-0.0449829,0.655396,0.155212,-0.737793
1528446439097811,-0.0463867,0.655823,0.154419,-0.737488
1528446439127737,-0.0479126,0.656128,0.153198,-0.737366
1528446439141684,-0.0487061,0.656433,0.151917,-0.737305
1528446439157671,-0.0488281,0.656555,0.150696,-0.737488
1528446439180165,-0.0482788,0.656616,0.149963,-0.73761
1528446439202002,-0.0476074,0.656494,0.149536,-0.737854
1528446439216978,-0.0473022,0.656494,0.149109,-0.737976
1528446439240332,-0.0473022,0.656433,0.149048,-0.737976
1528446439261120,-0.0474243,0.65625,0.149414,-0.738098
1528446439278612,-0.0478516,0.656067,0.149841,-0.738159
1528446439300553,-0.0487671,0.655884,0.149841,-0.738281
1528446439321497,-0.0501099,0.65564,0.149414,-0.738464
1528446439337455,-0.0517578,0.655396,0.14856,-0.738708
