timestamp,x,y,z
1529305156254069,77.5625,78.125,-53.0
1529305156260053,87.375,98.9375,-63.75
1529305156274016,81.6875,111.625,-74.125
1529305156298949,70.0625,125.18799999999999,-83.125
1529305156314907,61.875,137.813,-92.3125
1529305156333856,52.875,149.813,-106.31299999999999
1529305156380733,44.0625,161.75,-121.31299999999999
1529305156380733,39.0625,169.875,-134.875
1529305156393696,34.375,173.25,-146.438
1529305156415637,25.1875,171.0,-156.188
1529305156438576,9.375,168.813,-164.938
1529305156453537,-4.8125,168.438,-171.563
1529305156475478,-14.125,168.375,-179.5
1529305156490437,-19.5,162.75,-183.875
1529305156513376,-15.75,154.375,-185.875
1529305156535317,-18.75,151.875,-189.313
1529305156550278,-36.5,147.625,-196.188
1529305156573215,-43.5625,138.438,-194.313
1529305156596155,-35.0,129.188,-193.75
1529305156611115,-30.4375,120.18799999999999,-198.5
1529305156633056,-40.75,113.56299999999999,-195.063
1529305156655995,-57.1875,109.68799999999999,-187.75
1529305156670955,-81.0625,104.375,-178.188
1529305156692896,-94.8125,101.06299999999999,-163.375
1529305156715835,-94.1875,91.875,-146.438
1529305156730794,-84.1875,86.25,-138.375
1529305156752737,-72.8125,80.9375,-119.43799999999999
1529305156775675,-52.6875,67.875,-104.93799999999999
1529305156790634,-38.6875,55.125,-98.375
1529305156813585,-27.625,47.375,-91.5625
1529305156835515,-21.8125,38.6875,-80.5625
1529305156850475,-3.25,28.875,-72.0
1529305156873423,4.375,22.8125,-62.5
1529305156895355,13.9375,17.1875,-55.875
1529305156910315,23.625,11.3125,-47.4375
1529305156933253,16.4375,9.75,-24.6875
1529305156956194,17.6875,5.25,-5.125
1529305156971192,4.875,10.8125,8.125
1529305156993739,-16.1875,10.0625,21.6875
1529305157015429,-12.5625,6.1875,18.0
1529305157031435,-17.5,5.125,10.125
1529305157053358,-29.0625,3.4375,9.3125
1529305157076525,-30.375,-2.0,12.625
1529305157091465,-25.375,-7.625,8.125
1529305157113169,-34.8125,-1.125,0.3125
1529305157136417,-48.0,6.375,-5.5
1529305157151066,-60.0625,13.75,-7.3125
1529305157173965,-63.25,18.6875,-11.875
1529305157196208,-61.125,23.5625,-20.5625
1529305157211456,-55.125,29.5,-30.5
1529305157233420,-56.375,36.9375,-41.3125
1529305157255399,-60.4375,45.625,-48.5625
1529305157270677,-61.625,52.4375,-53.5625
1529305157293538,-53.25,56.625,-56.5625
1529305157316450,-50.125,60.3125,-59.125
1529305157331042,-40.6875,62.6875,-65.0625
1529305157354078,-31.8125,62.8125,-68.5
1529305157376227,-24.375,62.125,-70.9375
1529305157392226,-7.6875,57.9375,-73.875
1529305157413171,1.4375,53.8125,-74.3125
1529305157436144,3.5625,51.125,-71.625
1529305157452068,10.5625,45.5625,-66.3125
1529305157473065,15.125,36.0625,-53.25
1529305157495950,3.875,30.25,-33.4375
1529305157519940,5.25,16.75,-17.625
1529305157532908,5.125,10.0625,-0.3125
1529305157555843,-0.625,-0.0625,3.5
1529305157571800,2.6875,-7.5,-1.25
1529305157593709,0.3125,-12.0625,4.875
1529305157608649,3.5,-14.3125,12.5625
1529305157631604,-3.4375,-10.125,16.5625
1529305157654526,-14.0625,-5.875,22.4375
1529305157675470,-20.4375,-1.875,28.25
1529305157691426,-26.0625,-0.375,32.375
1529305157715367,-30.4375,-7.1875,41.5625
1529305157736369,-36.0625,-21.375,59.125
1529305157751423,-30.4375,-38.625,77.8125
1529305157775440,-8.8125,-58.625,102.81299999999999
1529305157795540,23.4375,-83.625,139.0
1529305157811735,75.4375,-112.625,175.313
1529305157834680,135.938,-143.625,211.75
1529305157856896,182.063,-170.0,253.25
1529305157871876,185.313,-172.875,274.688
1529305157895106,166.875,-166.25,297.313
1529305157916053,114.56299999999999,-156.875,325.5
1529305157932240,56.0,-159.25,338.5
1529305157962302,32.5625,-173.75,331.75
1529305157976035,24.5625,-192.313,322.813
1529305157991629,21.5,-203.938,307.688
1529305158014638,29.0,-200.938,274.313
1529305158035633,52.125,-195.625,248.875
1529305158052160,30.4375,-204.813,256.625
1529305158075150,-16.4375,-228.875,244.5
1529305158103247,-46.0625,-267.063,185.938
1529305158111465,-18.4375,-277.563,131.625
1529305158134580,-46.5625,-268.313,133.063
1529305158156510,-144.938,-263.25,143.313
1529305158171489,-253.938,-269.313,140.938
1529305158194746,-280.938,-258.375,117.75
1529305158215961,-270.875,-239.688,92.1875
1529305158232073,-209.313,-213.938,60.5625
1529305158255004,-148.938,-174.938,30.6875
1529305158276219,-110.625,-133.188,7.8125
1529305158291304,-49.9375,-91.6875,-6.375
1529305158314583,34.1875,-50.625,-11.0
1529305158336491,96.75,-19.375,-10.4375
1529305158351465,126.75,10.3125,7.1875
1529305158382224,82.375,15.3125,30.875
1529305158395460,-19.75,9.125,35.5625
1529305158411603,-130.438,-12.875,33.6875
1529305158434111,-149.813,-9.4375,24.9375
1529305158456264,-95.0,-1.125,12.25
1529305158471984,-22.375,13.5625,5.1875
1529305158493925,31.0,17.0625,-7.8125
1529305158516154,50.875,11.125,-11.5
1529305158531629,47.75,2.625,-10.375
1529305158553893,31.8125,-4.75,-13.875
1529305158577895,29.875,-5.875,-9.1875
1529305158591539,29.0,-4.875,0.25
1529305158614465,20.5,-5.875,9.1875
1529305158635874,6.375,-10.8125,14.4375
1529305158659790,-12.8125,-14.5,18.8125
1529305158674018,-24.1875,-12.5625,20.9375
1529305158696991,-24.9375,-7.9375,16.9375
1529305158718954,-24.9375,-5.25,8.875
1529305158733882,-23.75,-1.5625,1.8125
1529305158756861,-22.8125,0.375,-6.0625
1529305158777808,-29.75,0.75,-13.5
1529305158793732,-37.5625,0.4375,-17.4375
1529305158816662,-33.4375,2.125,-18.75
1529305158838604,-22.4375,1.8125,-17.25
1529305158853970,-17.3125,-1.5625,-11.5
1529305158877757,-12.75,-2.9375,-5.9375
1529305158898444,-6.625,-1.0625,-1.25
1529305158913630,-3.5,2.125,1.0
1529305158937785,-8.5,5.375,0.4375
1529305158951524,-13.875,8.625,-7.0
1529305158973932,-12.375,15.4375,-12.6875
1529305158997653,1.875,21.0625,-16.1875
1529305159018897,19.125,27.5,-22.0625
