timestamp,x,y,z
1529307487664042,-87.6875,63.625,-150.0
1529307487684949,-84.0625,49.4375,-127.125
1529307487700906,-71.75,35.5625,-103.81299999999999
1529307487723844,-51.25,20.375,-80.0
1529307487746024,-34.6875,9.25,-61.9375
1529307487760746,-28.9375,-0.9375,-43.5625
1529307487783698,-25.5625,-5.375,-28.125
1529307487805626,-15.375,-7.625,-14.5625
1529307487821915,-5.5,-10.3125,-4.5
1529307487843641,-5.0625,-10.75,5.9375
1529307487864698,-4.5,-12.9375,10.5
1529307487881524,2.125,-15.3125,15.5
1529307487903868,7.1875,-16.125,18.875
1529307487924809,12.3125,-16.0,20.6875
1529307487941667,6.5,-14.6875,21.5
1529307487964367,6.875,-14.875,17.6875
1529307487985519,6.3125,-13.625,12.0
1529307488000466,3.6875,-12.9375,5.875
1529307488023554,4.75,-12.6875,0.6875
1529307488037338,4.5,-11.375,-4.1875
1529307488060313,3.875,-8.3125,-7.5625
1529307488083286,7.0625,-6.75,-11.1875
1529307488097455,5.875,-6.375,-14.3125
1529307488120186,5.0625,-7.6875,-15.9375
1529307488143398,7.125,-8.75,-18.125
1529307488157382,7.4375,-9.9375,-18.1875
1529307488180478,4.375,-11.6875,-18.875
1529307488202599,6.875,-12.75,-20.1875
1529307488217923,7.875,-12.8125,-20.0625
1529307488240013,4.625,-11.1875,-20.875
1529307488263552,3.0,-11.125,-20.3125
1529307488277278,6.5625,-13.25,-19.125
1529307488300217,1.875,-14.6875,-17.125
1529307488323156,-2.125,-18.5625,-13.5625
1529307488337170,-1.9375,-21.4375,-12.9375
1529307488360112,0.625,-23.6875,-11.9375
1529307488383049,3.625,-26.625,-10.375
1529307488397012,4.5625,-29.25,-7.5625
1529307488419951,4.8125,-27.75,-3.625
1529307488442835,14.375,-18.375,-3.6875
1529307488456834,-7.625,-6.9375,-1.4375
1529307488479773,-6.125,0.1875,2.5
1529307488502728,1.3125,4.875,7.6875
1529307488517636,-4.0625,10.5625,13.375
1529307488539578,-9.375,17.4375,16.6875
1529307488562517,-11.625,21.0,18.6875
1529307488577476,-14.75,21.625,19.875
1529307488599418,-19.375,20.9375,21.75
1529307488623597,-20.8125,19.375,22.9375
1529307488637581,-24.125,19.25,23.375
1529307488659561,-28.6875,18.4375,23.0
1529307488682502,-27.1875,18.5,22.625
1529307488697812,-22.6875,18.875,22.9375
1529307488719849,-25.375,18.3125,22.625
1529307488743605,-24.3125,15.75,20.625
1529307488757538,-18.25,13.5625,16.8125
1529307488780361,-13.3125,11.3125,14.0625
1529307488803639,-9.125,7.75,10.75
1529307488817706,-5.375,3.125,7.625
1529307488840600,2.3125,-1.875,1.3125
1529307488863587,9.375,-7.0625,-3.9375
1529307488877284,12.375,-12.0,-8.0
1529307488900349,13.9375,-15.875,-13.5625
1529307488923648,16.9375,-17.625,-18.0
1529307488937430,20.375,-18.5625,-19.75
1529307488959932,21.25,-18.375,-19.625
1529307488982989,19.25,-16.4375,-18.5
1529307488996901,19.0625,-15.25,-16.6875
1529307489019586,21.625,-15.625,-15.25
1529307489042530,19.8125,-16.6875,-13.75
1529307489057487,18.1875,-17.375,-11.125
1529307489080000,14.375,-19.5,-8.5
1529307489101976,12.6875,-20.0625,-7.5625
1529307489116991,12.3125,-19.1875,-6.875
1529307489140188,8.5,-18.1875,-6.0625
1529307489162567,3.0,-17.5625,-4.75
1529307489177265,5.3125,-17.625,-2.5625
1529307489199215,5.0,-16.1875,-1.4375
1529307489222117,1.125,-13.0625,0.4375
1529307489237077,0.8125,-10.9375,1.25
1529307489260018,0.6875,-7.6875,1.8125
1529307489281987,2.625,-4.5625,1.25
1529307489296961,-0.6875,-0.375,3.0625
1529307489320104,-0.75,4.75,4.1875
1529307489342639,2.1875,8.5625,5.5
1529307489357924,0.75,12.5,8.8125
1529307489380045,1.625,15.0625,12.625
1529307489401986,2.25,17.375,17.4375
1529307489417967,4.4375,18.125,21.75
1529307489440227,2.5,17.625,29.9375
1529307489462474,6.5625,15.25,39.1875
1529307489477853,12.625,12.8125,52.0625
1529307489499988,16.3125,9.125,63.9375
1529307489522017,27.6875,4.625,76.4375
1529307489537492,34.3125,-0.9375,90.625
1529307489560540,44.3125,-11.5625,109.125
1529307489582907,56.3125,-22.9375,132.375
1529307489597724,75.625,-35.8125,154.813
1529307489620165,100.93799999999999,-51.5625,176.75
1529307489642616,118.93799999999999,-65.8125,198.75
1529307489657840,131.25,-77.75,217.75
1529307489680084,145.938,-83.75,232.75
1529307489701771,157.25,-90.6875,246.563
1529307489716729,158.875,-94.8125,251.688
1529307489739668,163.75,-99.375,263.5
1529307489762932,158.688,-98.125,282.125
1529307489778871,140.625,-90.875,294.813
1529307489800152,127.125,-84.8125,294.0
1529307489823084,115.43799999999999,-83.5625,281.813
1529307489838379,100.93799999999999,-82.8125,273.75
1529307489860067,82.8125,-85.8125,271.688
1529307489882692,85.375,-90.25,273.813
1529307489898772,95.0625,-84.625,273.688
1529307489920014,91.375,-78.0625,271.688
