timestamp,x,y,z
1528884578000806,0.4375,-0.375,0.3125
1528884578016763,0.5625,-0.3125,0.125
1528884578030728,0.3125,-0.3125,0.1875
1528884578054661,-0.125,-0.625,-0.0625
1528884578076603,-0.0625,-0.5625,-0.25
1528884578090566,0.125,-0.3125,-0.6875
1528884578115499,0.1875,-0.0625,-0.9375
1528884578145419,-0.1875,-0.0625,-1.125
1528884578154395,-0.25,0.125,-0.9375
1528884578175339,0.625,0.0625,-0.5625
1528884578197281,1,-0.0625,-0.6875
1528884578211242,0.375,-0.0625,-0.5
1528884578235178,-0.5,0.5625,-0.375
1528884578263105,-0.5,0.75,-0.5625
1528884578276070,0.6875,0.4375,-2.25
1528884578294021,4.3125,-0.3125,-6.0625
1528884578315963,15.4375,-0.8125,-13.9375
1528884578330923,46.5625,5.25,-30.125
1528884578353862,96.625,15.875,-54.125
1528884578375803,143.938,31,-85.375
1528884578390763,167.875,51.375,-119.563
1528884578413702,169.063,67.0625,-153.188
1528884578435644,149.375,87.5625,-188.313
1528884578450603,112.875,103.813,-217.063
1528884578474539,73.0625,115.063,-245.625
1528884578496481,41.4375,131.438,-268
1528884578510444,8.25,144.375,-289.438
1528884578533382,-12,148.75,-305.5
1528884578556320,-24,157.063,-318.688
1528884578570284,-34.25,163.125,-324.75
1528884578593222,-50.125,165.938,-329.438
1528884578616162,-75.875,170.25,-329.188
1528884578630124,-96.5625,177.125,-320.125
1528884578653062,-112.563,185.25,-301.938
1528884578676001,-120.25,186.688,-276.625
1528884578689964,-114.688,185.375,-248.313
1528884578713899,-94.4375,178.25,-216.5
1528884578735841,-82.0625,169.5,-185.938
1528884578750801,-79.5,163.125,-162.875
1528884578773740,-78.3125,156.688,-133.688
1528884578795686,-73,147.75,-94.3125
1528884578810677,-63.3125,137.5,-58.6875
1528884578833610,-43.25,115.375,-25.375
1528884578856518,-3.3125,91.5,5.3125
1528884578870516,39.0625,72.375,23.375
1528884578893420,50.9375,57.625,21.75
1528884578916359,38,42.125,12.1875
1528884578930324,15,32.75,7.4375
1528884578953336,-5.625,27,4.1875
1528884578976234,-8.0625,21.8125,-1.5625
1528884578990337,-2.75,17.1875,-3.125
1528884579013275,5,10.5625,-4.375
1528884579036215,11.5625,5.4375,-4.5625
1528884579050316,13.5,-1,-6.25
1528884579073434,12.375,-8.25,-8.25
1528884579096428,16.5,-11.8125,-10.25
1528884579110553,22,-14.1875,-17.125
1528884579133711,26.875,-14.5625,-24.625
1528884579156575,24.6875,-13.375,-35.75
1528884579170445,16.3125,-14.5,-49.875
1528884579193539,12.875,-17.5,-64.8125
1528884579216628,15.875,-22.25,-77.5
1528884579230465,24.125,-26.8125,-80.1875
1528884579253443,29.8125,-31.125,-86.3125
1528884579275709,32.125,-42.4375,-90.6875
1528884579290669,38.5625,-55.3125,-100.875
1528884579312454,47.3125,-70.75,-103.813
1528884579335912,52.5,-78.1875,-100.625
1528884579350947,50.875,-83.1875,-100.875
1528884579372856,42.125,-89.1875,-100.438
1528884579395810,27.5,-93.75,-97.4375
1528884579410755,23.1875,-90.8125,-90.5
1528884579432697,21.4375,-84.4375,-82.3125
1528884579455774,23.9375,-83,-73.75
1528884579470735,17.25,-77.875,-71.0625
1528884579492537,6.625,-72,-69.9375
1528884579515474,5.625,-69.625,-72.375
1528884579530434,3.5625,-66.4375,-71.6875
1528884579553375,2.6875,-63.5625,-67.125
1528884579575370,-4.25,-62.1875,-65.6875
1528884579590330,-15.625,-66.1875,-70.1875
1528884579613272,-22,-69.125,-74.625
1528884579635155,-17.125,-75.25,-74.375
1528884579650115,-6.625,-85.4375,-68.125
1528884579673054,-7.375,-100.438,-61.4375
1528884579694995,-20.5625,51.25,12.3125
1528884579709955,-75.375,31.9375,-26.9375
1528884579732893,22.875,-3.5,6.5625
1528884579755844,11.9375,-27.875,-2.9375
1528884579770792,4.8125,-9.3125,-3.0625
1528884579792734,-27.875,-16.5,0.0625
1528884579815944,-13.625,-19.9375,-3.75
