timestamp,x,y,z
1529304961153689,13.4375,28.4375,-20.75
1529304961190592,24.5625,41.8125,-27.8125
1529304961200563,34.5625,54.3125,-36.125
1529304961214527,38.25,68.9375,-44.5625
1529304961235472,43.25,86.5625,-52.75
1529304961264392,37.875,103.125,-62.8125
1529304961274367,17.8125,113.25,-70.0
1529304961295312,-2.3125,121.75,-77.0625
1529304961312267,-14.125,129.375,-84.25
1529304961334209,-19.375,133.938,-92.25
1529304961357147,-19.9375,139.563,-101.31299999999999
1529304961372106,-25.5625,146.125,-112.56299999999999
1529304961394047,-41.125,153.813,-124.06299999999999
1529304961415015,-57.625,163.25,-132.375
1529304961431954,-66.75,169.5,-138.375
1529304961454889,-64.0625,169.875,-142.0
1529304961475828,-62.6875,171.813,-146.188
1529304961497805,-75.5625,170.813,-155.438
1529304961514766,-93.4375,169.5,-163.375
1529304961535694,-113.81299999999999,169.25,-162.313
1529304961551626,-123.56299999999999,168.688,-155.125
1529304961574566,-129.313,165.938,-150.0
1529304961595547,-129.563,161.438,-143.875
1529304961611482,-128.875,157.813,-140.188
1529304961635402,-129.625,152.375,-137.063
1529304961655351,-126.625,142.063,-128.813
1529304961671308,-102.93799999999999,133.563,-115.25
1529304961694245,-83.125,124.375,-105.56299999999999
1529304961715190,-69.125,112.75,-104.5
1529304961732144,-64.125,106.18799999999999,-102.25
1529304961754084,-64.0625,103.875,-100.125
1529304961775029,-53.0625,93.25,-100.31299999999999
1529304961792026,-34.125,81.1875,-92.125
1529304961814104,-35.75,80.125,-90.75
1529304961836863,-42.8125,76.625,-95.3125
1529304961851823,-26.75,69.0625,-92.75
1529304961873773,-10.4375,61.875,-80.0625
1529304961896703,-5.25,50.0625,-70.5
1529304961918683,-13.4375,43.0,-66.5
1529304961933643,-28.5625,37.0,-60.5
1529304961956077,-41.25,32.5,-52.0625
1529304961979022,-54.0,24.0625,-43.0
1529304961994284,-53.75,15.3125,-34.125
1529304962016113,-36.4375,7.375,-28.4375
1529304962038125,-22.875,0.0,-28.125
1529304962053083,-21.625,1.5,-24.0625
1529304962076310,-32.1875,8.0,-13.1875
1529304962099296,-27.6875,9.625,-7.0625
1529304962114328,-2.8125,9.125,-6.1875
1529304962136681,14.3125,8.0,-6.75
1529304962158788,19.4375,8.9375,-0.5
1529304962174210,14.9375,11.0,5.0625
1529304962196235,3.5625,6.3125,5.75
1529304962212225,-9.6875,-1.8125,4.125
1529304962233189,-16.0,-7.625,0.4375
1529304962256130,-12.375,-8.1875,-2.8125
1529304962272034,-3.9375,-7.3125,-3.75
1529304962293987,7.1875,-8.6875,-5.375
1529304962315917,15.875,-10.3125,-4.5
1529304962331874,24.5625,-10.625,-0.1875
1529304962353815,19.5,-9.4375,5.0625
1529304962377752,5.375,-5.75,11.1875
1529304962391714,-12.5625,-3.0625,18.25
1529304962413655,-25.5,-4.5625,23.4375
1529304962435597,-24.75,-5.5625,28.5
1529304962451559,-19.6875,-4.3125,37.0625
1529304962473495,-22.3125,-7.375,47.375
1529304962496480,-6.5625,-3.25,60.625
1529304962511395,17.25,-1.3125,70.125
1529304962533619,36.8125,2.875,67.6875
1529304962556614,50.625,6.4375,64.4375
1529304962573290,63.0625,8.75,73.5625
1529304962593802,51.6875,17.0625,79.9375
1529304962623807,19.875,28.5,78.25
1529304962632745,-11.1875,35.8125,78.0
1529304962653764,-20.375,32.5,80.6875
1529304962683658,-18.25,37.75,75.0625
1529304962692584,1.875,43.9375,68.5625
1529304962714089,17.3125,43.4375,63.25
1529304962743288,29.875,34.1875,53.75
1529304962752263,32.1875,25.25,44.875
1529304962774831,11.9375,20.125,44.625
1529304962795981,-13.5,11.5625,35.125
1529304962811998,-18.25,6.5,19.125
1529304962834239,3.9375,7.25,8.4375
1529304962855880,22.5,5.8125,2.5625
1529304962879834,21.375,0.25,-3.1875
1529304962893997,13.125,-4.8125,-8.5625
1529304962916811,6.8125,-10.75,-12.1875
1529304962932092,9.875,-11.5,-13.5
1529304962961355,10.375,-9.3125,-10.625
1529304962976514,2.125,-10.0625,-7.1875
1529304962992263,-8.0625,-13.125,-6.25
1529304963022355,-6.625,-17.625,-3.8125
1529304963036860,6.75,-21.5625,0.9375
1529304963051775,12.6875,-26.0,6.875
1529304963075419,12.8125,-32.6875,14.0
1529304963096624,16.3125,-43.375,20.875
1529304963112519,23.5,-58.4375,30.0
1529304963134901,33.8125,-76.0,41.8125
1529304963156688,44.25,-94.5625,57.0625
1529304963171697,58.0,-114.31299999999999,71.9375
1529304963195622,68.0625,-136.063,85.5625
1529304963216606,75.8125,-159.938,99.125
1529304963231608,88.75,-184.25,111.81299999999999
