timestamp,x,y,z
1528447070756362,80.4375,2.875,-15.625
1528447070780298,115,-0.375,-21
1528447070801271,128.125,0,-22.3125
1528447070816210,121.25,6,-15.5
1528447070842133,89.5,10.6875,-8.1875
1528447070862080,55,12.0625,-2.75
1528447070908956,39.3125,8.3125,9.8125
1528447070921957,21.125,8.375,27.5
1528447070958821,2.8125,6.9375,32.25
1528447070973810,-6.4375,7.125,34.375
1528447070996721,-11.125,8,36.1875
1528447071026641,-14.8125,6.75,32.375
1528447071056560,-16.1875,5.1875,24.5
1528447071074538,-15.125,4.375,14.8125
1528447071101441,17.1875,-0.5625,1.125
1528447071117398,28.3125,-4.3125,5
1528447071146321,34.5,-6.625,3.125
1528447071184250,34.3125,-5.0625,1.375
1528447071199185,27.375,-3.0625,1.4375
1528447071221120,-16.4375,-0.25,3.3125
1528447071238077,-35.125,1.6875,-0.9375
1528447071251046,-37.1875,1.625,-5.0625
1528447071259020,-23.0625,2.5625,-10
1528447071303899,-3.0625,4.1875,-14.375
1528447071341798,28.5,4.375,-15.9375
1528447071356759,31.5625,9.5,-18.4375
1528447071371754,28.3125,10.375,-19.5
1528447071393659,23.1875,6.875,-19.0625
1528447071408619,18.375,0,-18.5
1528447071431558,12.125,-6.125,-14.6875
1528447071453500,1.5625,-9.25,-9.8125
1528447071468459,-14.875,-9.5,-4.125
1528447071498379,-32.25,-9.125,2.5625
1528447071529298,-35.4375,-8,6.375
1528447071544284,-27.6875,-5.8125,9.5
1528447071559216,-20.1875,-3.4375,9.625
1528447071574230,-15,-1.375,6.75
1528447071589173,-7.75,0.3125,2.4375
1528447071619094,0.3125,1.875,-2.625
1528447071649011,8.5625,3.1875,-7
1528447071663949,14.0625,2.8125,-8.75
1528447071686875,14.375,-2.25,-9.125
1528447071723829,2.25,0.5,-3.8125
1528447071761675,-6.6875,0.4375,-2.5625
1528447071783619,-12.25,0.1875,-2.5
1528447071806557,-9.25,-1.8125,-3.4375
1528447071821516,-6,-2.6875,-4.1875
1528447071836476,-4.875,-3.25,-5.0625
1528447071858417,-5.625,-3.25,-5.0625
1528447071881356,-7.5625,-3,-4.6875
1528447071896316,-11.25,-2.75,-4.4375
1528447071926236,-11.875,-2.1875,-4.8125
1528447071941196,-8.6875,-1.6875,-5.125
1528447071964138,-5.6875,0.125,-5.6875
1528447071994109,-2.1875,1.25,-5.375
1528447072030996,6.5,4.125,-3.875
1528447072077051,9.5625,4.6875,-2.625
1528447072099580,11.0625,4.8125,-1.25
1528447072150903,12.4375,3.375,1.1875
1528447072173841,15.125,2.5,2.75
1528447072196293,16.1875,1.9375,2.5625
1528447072226569,17.8125,2.25,0.5625
1528447072256737,8,3,0.5
1528447072278753,-1.625,2.4375,2.0625
1528447072302028,-12.9375,1.3125,3.875
1528447072317170,-22.0625,0.8125,4.125
1528447072346391,-27.5,0.25,4.0625
1528447072362169,-29.4375,-0.25,3.9375
1528447072391760,-33.75,-1.125,2.5
1528447072406758,-36.4375,-0.625,0.1875
1528447072429708,-35.9375,-0.875,-3.0625
1528447072444656,-32.8125,0,-5.9375
1528447072458789,-26.5625,0.1875,-7.5
1528447072481960,-20.1875,-0.3125,-8.5
1528447072496599,-15.625,0.25,-8.375
1528447072519112,-11.25,-1.6875,-6.6875
1528447072549229,-6.5625,-2,-5.0625
1528447072563725,-3.25,-2.125,-2.75
1528447072594599,-1.5625,-1.875,-1.4375
1528447072609611,0.375,-1.5625,0.875
1528447072631378,4.4375,-1.625,2.875
1528447072646338,8.375,-0.9375,4.5625
1528447072661560,7.8125,0.875,6.75
1528447072676545,6.0625,1.8125,8.5
1528447072699578,4.5625,1.1875,9.25
1528447072721673,0.5,1.875,8.5
1528447072744470,-3.4375,3.0625,4.5
1528447072766324,-1.75,2.125,-0.5625
1528447072781369,6.1875,1.1875,-4.9375
1528447072796295,9.3125,0.4375,-8.0625
1528447072827134,7.25,0.75,-10.4375
1528447072863453,4.25,1.125,-10.6875
1528447072879530,1.3125,0.9375,-9.875
1528447072894582,-0.375,0.375,-9
1528447072916572,3.5625,-0.4375,-6.375
1528447072939517,4.8125,-1.1875,-4.625
1528447072962163,4.8125,-1.1875,-0.9375
1528447072976111,3.375,-0.3125,3.75
1528447073007032,1.0625,1.1875,6.5625
1528447073036004,-0.3125,4.3125,7.3125
1528447073050929,1.125,6.9375,7.375
1528447073073902,1,7.6875,4.4375
1528447073111826,5.4375,5.125,-6.4375
1528447073126763,9.625,2.8125,-11
1528447073156680,11.3125,-2,-9.625
1528447073178624,3.75,-3.375,-6.5625
1528447073208489,-6.375,-3.6875,-2
1528447073231429,-18.6875,-3.6875,3.9375
1528447073253430,-30.625,-2.875,9.75
1528447073276365,-39.6875,-2.8125,14.1875
1528447073299301,-32.9375,-2.5625,16.625
1528447073321243,-26.625,-1.875,19.25
1528447073344182,-17.125,-2.5,19.625
1528447073366857,-0.0625,-4.875,17.1875
1528447073396590,7.3125,-4.625,16.375
1528447073426512,0.5,-7.4375,4.5625
1528447073456822,1.75,-6.5625,-10.6875
1528447073479048,3.125,-7.8125,-10.6875
1528447073501302,-3.5625,-8.875,-4.5625
1528447073516768,-5.25,-7.6875,3.0625
1528447073538730,-5.5625,-3.0625,8.375
1528447073569067,-9.875,-0.1875,14.125
1528447073584006,-17.75,3.9375,15.4375
1528447073606346,-25.4375,4.75,14.9375
1528447073622163,-26.125,2.875,13.875
1528447073644138,-15.625,-0.875,9.9375
1528447073659342,0.0625,-4.75,1.6875
1528447073696419,16.8125,-8.125,-8.125
1528447073718837,27.5,-11.125,-11.25
1528447073741837,28.1875,-13.5,-10.1875
1528447073756799,18.6875,-14.375,-4.75
1528447073772025,3.875,-11.3125,2.1875
1528447073786325,-9.75,-6.3125,7.5625
1528447073801289,-19.3125,-2.9375,10.75
1528447073824122,-19.6875,-2.25,12
1528447073839311,-10.875,-3.5,12.6875
1528447073861853,-0.6875,-5,11.5625
1528447073883893,8.0625,-6.125,9.4375
1528447073899104,13.6875,-7.125,6.9375
1528447073914103,12.75,-7.5625,5.3125
1528447073959276,-9.0625,-5,2.5625
1528447073981476,-18.75,-3.625,0.375
1528447074011893,-12.875,1.625,-4.25
1528447074033831,-3.625,4,-8.3125
1528447074063789,7.6875,6.4375,-12.9375
1528447074079328,16.625,7.1875,-15.5625
1528447074116772,27.125,4.875,-11.625
1528447074131492,30.1875,3,-8.0625
1528447074154465,28.5625,2.625,-6.25
1528447074176927,19.375,2.5625,-4.0625
1528447074191646,9.3125,2.125,-1.0625
1528447074213824,9.0625,2.5,0.1875
1528447074251472,20.375,3.9375,-1.9375
1528447074266172,33.75,7.0625,-5
1528447074304330,46.1875,14.5,-10.0625
1528447074319740,46.1875,15.1875,-11.6875
1528447074342183,42.5,15.0625,-14.875
1528447074379502,39.6875,12.375,-20.1875
1528447074394169,43.25,10.875,-22.3125
1528447074430969,45.375,8.8125,-24.0625
1528447074453958,36.625,6.375,-23.375
1528447074491933,18.4375,4.0625,-19.4375
