timestamp,x,y,z
1528270560354780,0.375,0.0625,-0.75
1528270560378715,1.0625,0.1875,-0.625
1528270560400658,1.1875,0.625,-0.625
1528270560415618,0.9375,0.125,-0.5
1528270560438556,2.0625,0.25,-0.875
1528270560461495,1.375,0.3125,-0.6875
1528270560477452,-0.3125,-0.125,-0.375
1528270560530310,3.375,0.0625,-0.75
1528270560531308,-0.1875,-0.4375,-1.5625
1528270560542278,-1.1875,-0.4375,-1.6875
1528270560558275,-0.8125,-0.8125,-1.5
1528270560582171,0.6875,-0.8125,-0.9375
1528270560605110,1.3125,-1.3125,-0.6875
1528270560640019,0.8125,-0.5625,-0.4375
1528270560649991,-0.1875,-0.125,-0.25
1528270560656972,0.625,-0.125,-0.125
1528270560677915,1.6875,-0.25,-0.125
1528270560700854,2.8125,0.1875,0.0625
1528270560724791,3.0625,0.375,0.25
1528270560738803,3.0625,0.5625,1.1875
1528270560762739,1.75,-0.4375,5.5625
1528270560784631,3.5,-1.5,11.5625
1528270560805606,9,-3.0625,24.25
1528270560822539,5.875,-2.625,47.625
1528270560844472,-9.875,-3.5625,78.25
1528270560865452,-38.1875,8.625,104.375
1528270560882371,-50,23.875,134.313
1528270560904337,-44.5,34.5625,179.375
1528270560926252,-25.75,39,234.688
1528270560942211,17.125,37.75,293.375
1528270560965149,70.125,43.625,359.438
1528270560986092,96.0625,62.6875,413.313
1528270561002050,89.5,77,457.125
1528270561024989,61.25,83.5,481.75
1528270561045985,59.625,79.375,486.438
1528270561061889,96.8125,76.5625,473.813
1528270561084829,148.563,80.0625,444.313
1528270561113752,186.313,93.9375,401.438
1528270561122727,207.25,103.25,355.938
1528270561144669,199.688,97.5,316.875
1528270561165667,165,83.4375,268.625
1528270561182567,137.375,64.875,225.188
1528270561204658,111.688,47.1875,189.688
1528270561226449,88.9375,29.125,150
1528270561241411,81.25,12.625,117.563
1528270561264350,70.3125,-8.4375,99.8125
1528270561286290,58.1875,-22.125,85.6875
1528270561301250,54.625,-30,72.0625
1528270561325185,61.625,-34.1875,61.125
1528270561346129,58.9375,-36.125,59.5
1528270561362093,37.125,-35.125,55.5
1528270561385025,14.5625,-30.25,45.0625
1528270561405969,9.1875,-28.4375,31.8125
1528270561421926,4.1875,-26.3125,29.3125
1528270561444867,-3.9375,-18.3125,28.875
1528270561467843,-3.5,-9.875,25.875
1528270561481767,1.0625,-3.125,17.1875
1528270561504707,7.5,-7.25,6.4375
1528270561527646,-2.125,-12.5,-9.1875
1528270561541608,-9,-14.75,-18.25
1528270561564546,-8.4375,-15.5625,-17.75
1528270561587485,0.8125,-14.75,-9.125
1528270561609053,10.6875,-10.75,-2.8125
1528270561631650,14.1875,-4.8125,-2.1875
1528270561647340,11.6875,3.0625,-3.875
1528270561669693,10.5,8,-3.1875
1528270561691703,13.1875,10.375,-2.1875
1528270561706292,20.1875,9.25,-1.625
1528270561730229,25.625,6.9375,-0.375
1528270561750815,31.625,4.75,-0.125
1528270561766835,32.5625,5,-7.25
1528270561790204,29.1875,6.875,-13.125
1528270561811369,29.5,7.9375,-17.0625
1528270561827106,33.25,7.625,-11.875
1528270561851053,40.5625,9.0625,-4.1875
1528270561870990,44.5,5.9375,-3.25
1528270561894183,44.3125,4.0625,-5.0625
1528270561909885,41.4375,-0.6875,-2.9375
1528270561930850,36.75,1.125,-1.25
1528270561946786,39.25,2.5625,1.1875
1528270561969756,35.8125,-0.875,-0.5
1528270561992665,37.1875,-2.125,-4.3125
1528270562006626,39.5,-3.625,-5.8125
1528270562029894,30,-3.25,-10.3125
1528270562052702,27.8125,2.4375,-10.5625
1528270562073646,29.6875,8.8125,-9.8125
1528270562089934,30.125,14.3125,-8.625
1528270562119843,31.875,19.4375,-5.125
1528270562133806,34.875,21.875,0.6875
1528270562149759,34.6875,22.9375,4.8125
1528270562172697,39.4375,22.0625,5.0625
1528270562193970,45.1875,15.5,5.4375
1528270562209803,38.625,0.5,3.25
1528270562232538,23.6875,-12.375,1
1528270562253777,16.4375,-18.9375,-7.25
1528270562269748,12.0625,-21,-11.6875
1528270562292690,7.75,-18.1875,-11.6875
1528270562298036,2.75,-14.8125,-8.8125
1528270562321002,2.4375,-8.5625,-7.0625
1528270562342559,4,-2.625,-5.8125
1528270562357545,1.25,2,-5.375
1528270562375468,-1.0625,6.0625,-5.625
1528270562395289,-0.8125,8.1875,-6.125
1528270562418092,0.5625,10.4375,-8.6875
1528270562434088,0.875,13.5625,-12.5
1528270562455677,1.875,17.5625,-18.0625
1528270562478321,3.125,19.125,-21.5625
1528270562500488,4.25,19.875,-25.1875
1528270562515443,6.25,18.625,-34.375
1528270562538124,0.875,15.125,-53.25
1528270562560518,-10.625,6.625,-65.3125
1528270562575111,-17.25,3.4375,-77.9375
1528270562598082,-17.75,-5.75,-96.125
1528270562616035,-13.9375,-15.125,-106.688
1528270562634985,-14.6875,-23.6875,-113
1528270562674878,-25,-39.5,-127.125
1528270562676844,-34.0625,-62.6875,-144.125
1528270562694846,-43.875,-87.125,-156.688
1528270562717785,-62.75,-111.813,-179.313
1528270562735682,-95,-140.688,-203.563
1528270562756626,-143.063,-166.188,-223.375
1528270562777613,-185.625,-180.875,-252.063
1528270562795523,-210.375,-191.5,-289.875
1528270562815501,-219.125,-200.188,-300.563
1528270562837474,-203.563,-199.375,-283.813
1528270562855367,-167.938,-193.125,-286.313
1528270562875369,-97,-183.063,-298.875
1528270562898428,-29.6875,-190.563,-295.438
1528270562915504,-11.0625,-206.125,-268.75
1528270562935706,-0.0625,-207.125,-250
1528270562957392,20.875,-197.813,-246.438
1528270562975344,43.875,-189.625,-254.688
1528270562995357,55.25,-182,-260.563
1528270563018229,37.375,-172.188,-268.563
1528270563036421,-15.6875,-156.75,-284.625
1528270563055394,-66.6875,-134.875,-308.5
1528270563078420,-98.75,-104.563,-310.688
1528270563096342,-101.75,-60.3125,-278.25
1528270563115217,-102.313,-39.8125,-214.813
1528270563138152,-180,-78.25,-129.438
1528270563156104,-278.25,-105.125,-22.3125
1528270563175054,-518.938,-18.8125,12.875
1528270563197992,-234.813,12.6875,54.375
1528270563216262,-154.063,-17.625,28.9375
1528270563234949,82.1875,-51.75,48.75
1528270563257887,149.188,36.875,23.3125
1528270563275839,239.313,19.375,-3.875
1528270563295174,200.188,19.6875,7.625
1528270563317865,85.8125,18.5625,17.8125
1528270563335796,-64.5625,14.875,22.3125
1528270563354746,-116.813,14.0625,13.25
1528270563377908,-71.375,13.6875,9.9375
1528270563395669,0.0625,10.3125,11
1528270563415619,47.25,-1.9375,12.625
1528270563437560,65.4375,-13.3125,18.6875
1528270563455510,63.4375,-20.8125,25.5
1528270563475459,51.25,-27.4375,32.1875
1528270563497905,36.4375,-28.875,33.4375
1528270563515613,28.125,-18.5625,25.875
1528270563536543,14.1875,-3.375,12.75
1528270563557491,-18.125,5.5625,0.125
1528270563575439,-45.625,6.875,-8.125
1528270563596391,-42.3125,5.375,-7.9375
1528270563617897,-20.6875,4.125,-0.875
1528270563635554,4.1875,3.5625,1.5625
1528270563656485,27.125,2.875,1.5
1528270563677427,33.5,3.3125,1.25
1528270563695624,23.875,3.25,1.125
1528270563716550,7.5625,2.5,0.75
1528270563738514,-4.375,1.375,0.5625
1528270563755217,-7.9375,0,-0.125
1528270563777157,-4.1875,-1.5625,-1.125
1528270563798570,3.4375,-2.625,-0.9375
1528270563815610,6.3125,-4.4375,-0.375
1528270563838739,6.25,-5.125,-0.5625
1528270563858505,5.0625,-5.0625,-0.375
1528270563876471,2.4375,-3.5625,-0.125
1528270563898669,-1.4375,-1.9375,0.5625
1528270563917922,-4.75,-1.125,0.9375
