timestamp,x,y,z
1528440473558928,0.1875,0.4375,0.3125
1528440473583859,0.0625,0.1875,0.1875
1528440473604803,-1.125,0.125,-0.0625
1528440473618765,-1.5625,0.125,-0.1875
1528440473643698,-1.6875,0,-0.125
1528440473665639,-1.25,0.25,-0.5
1528440473678605,-0.375,0.25,-0.625
1528440473728473,0.8125,0.1875,-0.3125
1528440473729470,1.0625,0.0625,-0.125
1528440473743433,0.75,-0.125,-0.0625
1528440473762381,0,-0.3125,0.0625
1528440473787314,-0.5625,-0.625,0.375
1528440473803272,-1.125,-0.6875,0.625
1528440473844162,-1.4375,-0.75,1
1528440473845159,-1.5625,-0.625,1.1875
1528440473858125,-0.875,-0.625,1.4375
1528440473882063,0.0625,-0.625,1.4375
1528440473904003,0.25,-0.4375,1.375
1528440473918963,0.1875,-0.375,1.375
1528440473942898,-0.375,-0.125,1.4375
1528440473963843,-0.6875,0.125,1.6875
1528440473978803,-0.625,0.6875,1.5625
1528440474002739,0.25,0.75,1.3125
1528440474032659,1,0.75,1.5
1528440474038642,1.5625,1.3125,1.0625
1528440474061581,1.75,1.625,0.6875
1528440474084536,2,1.875,0.875
1528440474098483,1.75,2.1875,0.9375
1528440474121421,1.625,2.5,0.6875
1528440474152339,2.4375,2.5625,0.5625
1528440474158323,3.3125,2.5625,0.6875
1528440474181261,2.5625,2.3125,1
1528440474204200,0.5625,2.25,0.75
1528440474218163,0,2.5,0.3125
1528440474249094,0.4375,2.25,0.1875
1528440474264041,0.8125,2.125,-0.1875
1528440474279999,0.25,2.125,-0.625
1528440474301939,-0.375,2.3125,-0.8125
1528440474323880,-0.6875,2.8125,-1.25
1528440474338840,-0.75,2.6875,-1.125
1528440474361779,-0.8125,3,-1.125
1528440474383720,-0.6875,3.75,-1.5
1528440474399678,-0.8125,3.75,-1.875
1528440474421619,-1.25,3.625,-1.9375
1528440474444558,-1.9375,4.25,-2.6875
1528440474466513,-2,5.1875,-3.9375
1528440474481459,-2.125,6.5,-4.875
1528440474504398,-3,7.875,-5.25
1528440474520409,-4.1875,9.3125,-5.25
1528440474541484,-3.125,11.25,-5.6875
1528440474564333,1.8125,12.875,-5.75
1528440474580249,7.9375,13.625,-5.3125
1528440474601400,12.4375,13.9375,-4.625
1528440474624498,14.3125,14.1875,-3.9375
1528440474639560,15.5,13.625,-3.4375
1528440474661593,16.5,13,-2.6875
1528440474683642,17.0625,11.875,-2.4375
1528440474699546,17.125,9.9375,-2.5
1528440474720487,16.75,7.8125,-2.125
1528440474744476,15.625,5.5,-1.3125
1528440474760381,13.8125,3.1875,0
1528440474781324,11.9375,1.3125,1.75
1528440474804413,10.0625,-0.25,4.125
1528440474820381,9.375,-1.8125,6.25
1528440474842195,8.75,-3.375,8.0625
1528440474872219,7.8125,-4.9375,9.5625
1528440474879567,6.0625,-5.75,10.8125
1528440474902514,4.5625,-6.1875,11.3125
1528440474924453,3.1875,-6.75,11.75
1528440474940407,1.6875,-7.0625,12.0625
1528440474962355,-0.375,-6.8125,12.375
1528440474985320,-1.3125,-6.3125,11.75
1528440475000247,-0.375,-5.625,10.6875
1528440475022189,1.25,-5,8.9375
1528440475045154,2.25,-3.75,6.625
1528440475060087,1.375,-2.1875,4.0625
1528440475091003,-0.25,-1.25,1.875
1528440475121922,-2.1875,-0.6875,0.25
1528440475126963,-2.6875,-0.125,-1.25
1528440475150845,-1.625,0.0625,-2.375
1528440475172831,-0.5,0,-3
1528440475179770,-1.5,-0.0625,-2.75
1528440475202760,-4.3125,-0.25,-1.8125
1528440475225644,-7.8125,0.5,-1.125
1528440475239624,-9.125,1.625,-1.625
1528440475262575,-6.9375,1.5625,-2.9375
1528440475285484,-3.5,1.8125,-4.25
1528440475299474,-1.75,2.0625,-6.75
1528440475322405,-1.375,1.5625,-8.5625
1528440475345324,-2.75,0.6875,-9.125
1528440475360408,-5.4375,0,-9.1875
1528440475391221,-9,-0.4375,-8.75
1528440475406191,-10.8125,-0.75,-7.8125
1528440475427211,-10.6875,-1.0625,-5.8125
1528440475442136,-8.9375,-1.125,-3.5625
1528440475465332,-7,-0.5625,-1.5625
1528440475486385,-5.25,0,0
1528440475502463,-4.625,0,1.375
1528440475525418,-3.4375,0.5,2
1528440475546502,-2.4375,1.4375,1.8125
1528440475562303,-1.6875,1.375,1.1875
1528440475585323,-2.4375,0.8125,1.125
1528440475606186,-3.8125,0.9375,0.75
1528440475622184,-2.8125,1.375,-0.8125
1528440475646140,1.5,1.625,-2.5625
1528440475666245,6.25,1.5625,-3.625
1528440475682200,8.625,1.4375,-4.4375
1528440475705139,10.0625,1.625,-5.5
1528440475726450,12.875,2.0625,-6.6875
1528440475742241,17.8125,1.9375,-7.0625
1528440475765180,21.125,1.125,-6.0625
1528440475787182,19.5,0.8125,-5.1875
1528440475802283,16.3125,0.1875,-3.5625
1528440475825220,13,-1.25,-1.25
1528440475847205,9.25,-2.6875,1.0625
1528440475862169,5.375,-3.6875,3.1875
1528440475885060,2.6875,-4.0625,5.25
1528440475908017,1.0625,-5.1875,7.8125
1528440475922962,0.1875,-5.875,9.8125
1528440475944899,-0.4375,-5.9375,11.625
1528440475967854,-2.875,-5.5,13
1528440475982940,-6.4375,-5.125,14.5
1528440476004741,-10.125,-4.5,15.9375
1528440476028017,-12.5625,-3.375,16.75
1528440476049151,-12.625,-2.3125,16.75
1528440476065101,-10.625,-1.1875,16.0625
1528440476088246,-7.8125,-0.4375,14.5625
1528440476109576,-6.375,-0.3125,12.3125
1528440476124541,-7.625,-0.5,10.0625
1528440476148601,-10.4375,-0.25,7.5625
1528440476162623,-13.0625,-0.3125,5.25
1528440476184505,-14.5625,-0.4375,3.5
1528440476208617,-14.9375,-0.5625,1.6875
1528440476221726,-15,-0.8125,-0.125
1528440476244068,-15.125,-1.25,-1.4375
1528440476258875,-15.875,-1.75,-2.1875
1528440476281055,-17.5,-1.6875,-3.0625
1528440476296008,-18.1875,-1.75,-4.375
1528440476319087,-17.3125,-2.0625,-5.5
1528440476341446,-16.25,-2.375,-6.9375
1528440476356507,-15.5625,-2.8125,-8.4375
1528440476378439,-15.3125,-3.4375,-10
1528440476401237,-14.9375,-3.875,-11.4375
1528440476416361,-14.6875,-4.4375,-12.625
1528440476438301,-15.5,-4.8125,-13.1875
1528440476461434,-16.375,-4.625,-13.5
1528440476484424,-17.4375,-4.5625,-13.4375
1528440476498537,-17.875,-4.5,-12.8125
1528440476530348,-18,-3.8125,-12.25
1528440476552501,-17.125,-3.0625,-11.8125
1528440476558370,-15.625,-2.3125,-10.9375
1528440476581518,-14,-1.125,-9.5
1528440476604664,-12.625,0,-8.4375
1528440476618563,-10.8125,1.0625,-7.5
1528440476641924,-8.3125,1.6875,-6.1875
1528440476656220,-6.3125,2.25,-4.8125
1528440476678377,-5.6875,2.5625,-3.5625
1528440476702204,-5.9375,3.3125,-2.25
1528440476716489,-5.9375,3.4375,-0.75
1528440476738634,-5.3125,3.6875,0.4375
1528440476761438,-3.625,3.9375,1.1875
1528440476777373,-1.125,4.0625,2.1875
1528440476798475,1.1875,4,3.25
1528440476821414,2.875,3.875,4.3125
