timestamp,x,y,z
1529300821654781,-4.9375,-9.0625,-28.4375
1529300821679712,4.6875,-4.5625,-37.75
1529300821698663,18.8125,3.75,-49.0
1529300821713623,37.3125,13.8125,-57.5
1529300821750540,62.5625,24.0,-70.5625
1529300821759529,85.8125,35.5625,-87.5
1529300821773463,91.125,45.625,-99.1875
1529300821794408,90.5,54.1875,-112.125
1529300821817347,88.0625,62.0,-130.75
1529300821841281,79.0,65.4375,-150.438
1529300821854248,56.3125,65.8125,-168.063
1529300821877200,29.0625,67.375,-183.938
1529300821893141,9.9375,77.5,-200.563
1529300821914087,3.0,88.1875,-214.125
1529300821938023,-2.3125,90.9375,-221.813
1529300821952982,-12.4375,86.8125,-217.313
1529300821974924,-25.75,79.9375,-217.188
1529300821997863,-35.625,69.1875,-223.75
1529300822013820,-45.125,61.75,-241.875
1529300822034764,-36.125,55.8125,-253.688
1529300822057703,-33.875,49.5,-254.813
1529300822073659,-35.375,42.625,-253.75
1529300822094605,-25.3125,31.0625,-255.938
1529300822117544,-20.375,25.0,-252.625
1529300822133501,-11.75,28.0,-237.0
1529300822154444,-5.125,23.75,-228.063
1529300822177384,-3.25,14.75,-211.875
1529300822193340,8.8125,-9.4375,-190.25
1529300822214285,17.5625,-43.0,-168.5
1529300822237225,17.75,-78.5625,-146.75
1529300822253179,8.25,-97.125,-122.18799999999999
1529300822274125,1.75,-105.31299999999999,-111.68799999999999
1529300822297064,-1.625,-97.125,-92.0
1529300822313020,-6.75,-89.0,-82.6875
1529300822334961,-11.375,-84.5,-72.0625
1529300822356902,-10.75,-81.375,-55.3125
1529300822373870,-8.6875,-52.0625,-36.375
1529300822395798,-19.6875,-3.875,-15.0625
1529300822416744,-29.4375,35.9375,5.6875
1529300822441676,-27.6875,54.9375,22.9375
1529300822455829,-21.875,57.0,32.3125
1529300822476776,-12.375,52.4375,33.5625
1529300822493729,-3.0,35.875,13.5
1529300822515672,8.125,18.0625,-7.625
1529300822536615,21.8125,5.1875,-23.4375
1529300822553569,28.4375,-4.0625,-36.4375
1529300822576519,31.75,-9.6875,-37.125
1529300822597674,34.875,-10.3125,-24.5
1529300822613669,24.6875,-2.3125,11.8125
1529300822635933,20.375,18.3125,42.0
1529300822656900,11.3125,40.625,66.5625
1529300822673707,8.3125,49.125,93.9375
1529300822695955,16.25,49.25,128.125
1529300822718893,20.0625,52.625,178.5
1529300822739910,21.375,41.5,201.375
1529300822762679,12.5625,29.9375,210.25
1529300822777640,14.3125,33.0,234.125
1529300822793925,13.75,34.4375,260.375
1529300822815910,16.375,11.875,251.875
1529300822837459,21.8125,-13.6875,235.438
1529300822853472,32.0,-20.125,243.75
1529300822876398,39.125,-22.75,252.313
1529300822897614,34.1875,-29.125,240.75
1529300822913505,32.875,-30.0625,221.188
1529300822935644,41.875,-10.875,206.625
1529300822956678,47.875,8.1875,225.438
1529300822973607,27.25,-3.625,199.438
1529300822995792,5.8125,-21.6875,178.438
1529300823018011,11.875,-37.1875,165.125
1529300823040166,15.75,-42.4375,152.625
1529300823055331,2.625,-42.25,149.0
1529300823078246,-12.8125,-52.75,139.75
1529300823093071,-26.0625,-65.125,126.93799999999999
1529300823115010,-36.3125,-70.375,127.93799999999999
1529300823137957,-45.625,-67.6875,134.688
1529300823152909,-49.6875,-58.1875,133.938
1529300823174850,-52.9375,-49.8125,118.68799999999999
1529300823197788,-56.9375,-45.375,102.31299999999999
1529300823212748,-47.875,-42.0,93.25
1529300823235704,-28.4375,-43.875,91.25
1529300823257628,-18.625,-40.4375,86.5
1529300823272588,-26.1875,-37.6875,83.9375
1529300823302509,-44.75,-34.5,76.3125
1529300823317468,-59.5625,-34.0,67.875
1529300823332429,-63.75,-31.9375,58.0
